"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 14:01:25:153 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","mutation_size","Neighborhood_size","baseline_fitness","payoff_assessment","mutation_probability","Mode","Game_Type","initial_propD","initial_heterogeneity","benefit","[step]","mean [strat_P_cur] of patches"
"108","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.482019800022822"
"109","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4886008526105097"
"110","0.6666667","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.49252795385255"
"111","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4429865788147458"
"112","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4306996987894182"
"113","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.44017094546575053"
"114","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.43746654550384156"
"115","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4487295099106395"
"116","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4355371116328063"
"117","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.44689550038125714"
"118","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.44351826195782246"
"119","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4392973336575574"
"120","0.7096774","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.44369055317909817"
"121","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.396662032311354"
"122","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3895546305498115"
"123","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.4003414267973837"
"124","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.38630173374777815"
"125","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.37720735631960534"
"126","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3846189834099446"
"127","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.37847373865456735"
"128","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.37981886741324894"
"129","0.75","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.3937636716006769"
