"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:47:23:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","baseline_fitness","benefit","strategy","mutation_rate","initial_propD","initial_heterogeneity","[step]","count patches with [ strategy_current = ""C"" ] / count patches","mean [probD ] of patches"
"170","0.8888889","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1830065359477124","0.8079182882041493"
"171","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.13610149942329874","0.8659065579159788"
"174","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.11995386389850057","0.871969449004939"
"175","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.15609381007304882","0.8542147618982625"
"173","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1384083044982699","0.8620170194282777"
"176","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.1387927720107651","0.8634519240164946"
"177","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.12264513648596694","0.8701275021692435"
"178","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.13725490196078433","0.8656687686491011"
"180","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.11803152633602461","0.8687731898920904"
"179","0.9189189","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.12572087658592848","0.8722101438459926"
"181","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.08342945021145713","0.9178013460460169"
"182","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.07574009996155324","0.9205690331886542"
"184","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.07689350249903883","0.9237537587082488"
"183","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.09573241061130335","0.9087092339870594"
"185","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.08035371011149559","0.9193244579620834"
"186","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.08112264513648597","0.9249739834265495"
"187","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.08073817762399077","0.9195982697750978"
"188","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.08189158016147635","0.9200641209977652"
"189","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.0784313725490196","0.9151435460352508"
"190","0.9473684","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.09265667051134178","0.915109508902924"
"191","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04382929642445214","0.9491279799370155"
"192","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.05151864667435602","0.9506540891981794"
"193","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.051134179161860825","0.9550196212202186"
"194","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.05767012687427912","0.9505319877139473"
"195","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.051134179161860825","0.948329890260384"
"196","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03767781622452903","0.9571277091356747"
"197","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.041906958861976165","0.9519151050091601"
"198","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04382929642445214","0.9566070958774546"
"199","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.05190311418685121","0.9543732414344268"
"201","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03844675124951941","0.9609840025219905"
"200","0.974359","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04844290657439446","0.9562704906947318"
"202","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03229527104959631","0.9657041207909444"
"204","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04306036139946175","0.962564419081574"
"203","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03460207612456748","0.9666840600226381"
"205","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04844290657439446","0.9617726760484354"
"206","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03652441368704344","0.9644598124613196"
"207","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03613994617454825","0.9638286600383317"
"208","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03883121876201461","0.9621478654240074"
"209","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.04382929642445214","0.9610539817714014"
"210","1","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.03652441368704344","0.962544717450897"
