"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/14/2014 18:55:49:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","mutation_size","strategy","initial_propD","payoff_assessment","initial_heterogeneity","baseline_fitness","benefit","mutation_probability","cost","[step]","mean [probD] of patches","count patches with [strategy_current = ""C""] / count patches"
"94","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.2559061182466575","0.7508650519031141"
"93","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.2426004569313606","0.7597078046905037"
"95","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.20399779306760682","0.7977700884275278"
"96","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.1968585653521751","0.800076893502499"
"97","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.24448123889818904","0.7589388696655133"
"98","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.22255220162800465","0.7866205305651672"
"99","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.23406280815242006","0.7700884275278739"
"101","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.2059031603287445","0.7885428681276432"
"100","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6206897","10000","0.2256401458039076","0.7616301422529796"
"102","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.23054803809139743","0.7581699346405228"
"103","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.22475243697073813","0.7720107650903498"
"104","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.21836801005447906","0.7808535178777394"
"106","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.22998087563331793","0.7581699346405228"
"105","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.23348620654382274","0.7570165321030373"
"107","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.22435217228577026","0.7831603229527105"
"108","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.2208532815375244","0.7708573625528643"
"109","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.18838221037928285","0.8127643214148405"
"110","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.6666667","10000","0.234262696461737","0.7616301422529796"
"111","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.21810672413531276","0.7773933102652826"
"113","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.244748228379391","0.7627835447904652"
"112","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.2159062672097842","0.7770088427527874"
"114","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.21526440304224578","0.7808535178777394"
"115","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.24238462124383267","0.7535563244905805"
"116","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.27606801188193997","0.73279507881584"
"118","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.20307053776811515","0.7923875432525952"
"117","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.22738759957497945","0.7843137254901961"
"119","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.22143313122401645","0.7835447904652056"
"120","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7096774","10000","0.22333583662005604","0.7620146097654749"
"121","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.2818285178683191","0.708958093041138"
"122","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.2134301589211596","0.7927720107650903"
"123","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.26893828219390675","0.7351018838908112"
"125","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.20928565055260903","0.7904652056901191"
"124","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.2438872789693214","0.7720107650903498"
"126","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.2545446648395775","0.7593233371780085"
"127","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.22736812981314464","0.7727797001153403"
"128","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.2141175397322497","0.7931564782775855"
"129","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.24416434555374572","0.754325259515571"
"130","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.75","10000","0.23013443386944712","0.7697039600153787"
"132","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.26949076104310243","0.7420222991157247"
"131","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.29419043793911087","0.7051134179161861"
"133","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.23538494597797735","0.7693194925028836"
"134","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.2394285622472708","0.7704728950403691"
"135","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.2628369583178813","0.7166474432910419"
"137","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.2407773904522197","0.7670126874279123"
"136","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.24411768310769358","0.7450980392156863"
"138","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.23373354190297135","0.7789311803152633"
"139","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.23232458700861566","0.7731641676278355"
"140","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.7878788","10000","0.26070701838244753","0.7312572087658593"
"141","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.2501461425520669","0.7381776239907728"
"142","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.22774638313192197","0.7650903498654363"
"144","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.23702814232994307","0.7616301422529796"
"143","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.22634226369648353","0.7689350249903883"
"145","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.22660285868727964","0.7873894655901577"
"146","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.2950619025096953","0.7093425605536332"
"147","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.2458230695147406","0.7512495194156094"
"149","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.2452243233409061","0.7593233371780085"
"148","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.22405189608900758","0.7789311803152633"
"150","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8235294","10000","0.22743827647423656","0.7808535178777394"
"151","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.23198020131871291","0.7773933102652826"
"152","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.25234708339938766","0.7439446366782007"
"153","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.24309864141748921","0.7527873894655902"
"154","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.2164298858940695","0.7846981930026913"
"156","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.21564481812778905","0.7839292579777009"
"155","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.22203243892307958","0.7827758554402153"
"157","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.26026461825617025","0.7358708189158016"
"158","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.2561214327052723","0.7354863514033064"
"159","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.25613833579961576","0.7397154940407535"
"161","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.23586788977190104","0.7693194925028836"
"160","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8571429","10000","0.2559195630750735","0.7612456747404844"
"162","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.26383106187277994","0.7289504036908881"
"163","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.23166593227474802","0.7731641676278355"
"164","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.2295161825236682","0.7770088427527874"
"165","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.23869705681910283","0.7650903498654363"
"166","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.24396554860304165","0.7558631295655517"
"168","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.2550647156795707","0.7439446366782007"
"167","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.2513211092604486","0.7647058823529411"
"169","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.25560646801429754","0.7497116493656286"
"170","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.8888889","10000","0.2405473262636023","0.7631680123029604"
"171","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.2497300486280006","0.7531718569780853"
"173","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.22775450201629518","0.7820069204152249"
"172","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.2446811145056913","0.7520184544405998"
"174","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.25877361385119324","0.7351018838908112"
"175","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.21877300864132615","0.7793156478277585"
"176","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.2682157245464349","0.7258746635909266"
"177","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.23737786080699844","0.7858515955401768"
"178","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.23403336125892168","0.7589388696655133"
"180","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.26248782499611506","0.7331795463283353"
"179","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9189189","10000","0.2436776918106462","0.7454825067281815"
"181","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.21271013021067264","0.780084582852749"
"182","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.24706359611408701","0.7677816224529027"
"183","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.27745962265038626","0.7181853133410226"
"184","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.23763385519819602","0.7608612072279892"
"185","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.2028141111832441","0.7885428681276432"
"187","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.21358758252676815","0.7896962706651288"
"186","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.2519516846710524","0.734717416378316"
"188","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.22681200690376255","0.7777777777777778"
"189","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.9473684","10000","0.23016096595974095","0.7704728950403691"
