"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
""
"12/16/2014 12:17:20:871 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","Neighborhood_size","initial_propD","mutation_size","cost","Mode","Game_Type","payoff_assessment","benefit","baseline_fitness","mutation_probability","[step]","mean [strat_P_cur] of patches"
"103","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.45758720967978506"
"102","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.473653916340781"
"104","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4618939328348584"
"105","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4404654241882123"
"106","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.43312779622907527"
"108","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4420169531038266"
"107","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.44739879610506283"
"109","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4564819356430934"
"110","0.02","4","0.01","0.0020","0.6666667","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.462342762726257"
"111","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4122418496324355"
"112","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4170479195096593"
"113","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.39964173329055913"
"114","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.413139423263126"
"115","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3860729824887129"
"117","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.400552071027869"
"116","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.39130073521985076"
"118","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3987073868100959"
"119","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.41475231174612354"
"120","0.02","4","0.01","0.0020","0.7096774","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.4056412125515828"
"122","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3456958989237627"
"121","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.3411190691997752"
"123","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.36008713995090563"
"124","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.34508821626297964"
"125","0.02","4","0.01","0.0020","0.75","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","1","0","0.01","10000","0.362707833735522"
