"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 13:38:11:059 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","strategy","baseline_fitness","mutation_probability","mutation_size","benefit","initial_heterogeneity","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"142","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.22858606547611202"
"143","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2510559916276947"
"144","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.25687887870738085"
"145","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2435460159834056"
"146","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2563080628567708"
"147","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.24057165217245652"
"148","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.22532476537082166"
"149","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.2488762424437098"
"150","0.8235294","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.24660885356964365"
"151","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.18753654516360502"
"152","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.19269579096120315"
"154","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.19317660194916786"
"155","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.19792047753298816"
"156","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.17715029234267146"
"153","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.192130204677118"
"157","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.19100253321613278"
"158","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.20789413218741332"
"159","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.1874433950431929"
"160","0.8571429","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.21362052067652024"
"161","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.1473942344233517"
"162","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.13925988341831314"
"163","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.15377625740367268"
"164","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.13567881349649727"
"166","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.14074190484591967"
"165","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.1261630368896471"
"167","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.14026600298100397"
"169","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.14290509158571796"
"170","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.15805134811645852"
"171","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.09945100617035421"
"168","0.8888889","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.15204373558265433"
"172","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.0886077633909808"
"173","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.07565379879809375"
"174","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.08503491126576972"
"175","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.07602727411914845"
"176","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.07128976755697611"
"177","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.0904122987777088"
"178","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.09052589065257613"
"179","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.0912642457745705"
"180","0.9189189","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.08482682429311716"
"181","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.034426653436260966"
"182","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.05123306331029951"
"184","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.03797382392066784"
"185","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.0349216858903735"
"186","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.03400102066174765"
"183","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.04180256427743557"
"187","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.022254092574761932"
"188","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.03915701033397515"
"189","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.054252152958885205"
"190","0.9473684","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.03900358287679839"
"191","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.008515810677652643"
"192","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006730305143854454"
"193","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.01075780971027042"
"194","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.010625556017635922"
"195","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.00804383001812639"
"197","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006448780228290655"
"196","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.005052423330594253"
"199","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.010615176561484842"
"200","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006875465598645952"
"201","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006165184399670063"
"198","0.974359","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.011081748393579305"
"202","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.007105782709977557"
"203","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.008448588685840096"
"204","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.004368276789925781"
"205","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.003902317712534433"
"206","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006854907192191519"
"207","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.005749008444904881"
"208","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.006635582127698685"
"209","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.005566740791704786"
"210","1","""Mixed""","0","0.01","0.0020","1","0.02","""nonlinear_with_error""","10000","0.0072316155883074915"
