"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"65","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6850839447667907"
"66","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.694808260853215"
"64","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6755043843515239"
"67","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6757926563574908"
"68","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6786107853014959"
"69","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6819373283927482"
"70","0","1","0.01","0.02","0.01","12","0.4615385","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6781450285386489"
"71","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6225230228991063"
"72","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6384268520021682"
"73","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6316667712416689"
"74","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6341388145905881"
"75","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6300160485836885"
"76","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6434685371137445"
"77","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6325110524592229"
"78","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6318852990419266"
"79","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6415052326226413"
"80","0","1","0.01","0.02","0.01","12","0.5185185","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.6378160121974334"
"81","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.585959646640163"
"82","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5608788298338028"
"83","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5704657035828218"
"84","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5983847636243846"
"85","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5943709187637718"
"87","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5827189933342465"
"86","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.5755636985831359"
"88","0","1","0.01","0.02","0.01","12","0.5714286","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.585100518293227"
