"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial_correct.nlogo"
"experiment"
"12/15/2014 11:56:07:352 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","payoff_assessment","mutation_size","mutation_probability","baseline_fitness","strategy","cost","benefit","initial_heterogeneity","[step]","mean [strat_P] of patches"
"132","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.37189143147717896"
"133","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.37055241988261145"
"134","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.3806968106316499"
"136","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.35775538418883795"
"135","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.35665847731996086"
"138","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.37091011677705665"
"137","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.37758279237905407"
"139","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.3562825600443638"
"140","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.7878788","1","0.02","10000","0.35730924170198186"
"141","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.31795438815358545"
"143","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.32048091529531586"
"144","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.32529213597590095"
"142","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.32583109155204465"
"145","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.3288879403297775"
"146","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.31518063273458313"
"147","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.3233049279036294"
"148","""nonlinear_with_error""","0.0020","0.01","0","""Mixed""","0.8235294","1","0.02","10000","0.31552406146022094"
